2021-09-08 11:30:31 INFO Collected 50 ID in genre DOCUMENTARY, rank 1-51
2021-09-08 11:30:33 INFO Collected 50 ID in genre DOCUMENTARY, rank 51-101
2021-09-08 11:30:35 INFO Collected 50 ID in genre DOCUMENTARY, rank 101-151
2021-09-08 11:30:37 INFO Collected 50 ID in genre DOCUMENTARY, rank 151-201
2021-09-08 11:30:39 INFO Collected 50 ID in genre DOCUMENTARY, rank 201-251
2021-09-08 11:30:42 INFO Collected 50 ID in genre DOCUMENTARY, rank 251-301
2021-09-08 11:30:44 INFO Collected 50 ID in genre DOCUMENTARY, rank 301-351
2021-09-08 11:30:46 INFO Collected 50 ID in genre DOCUMENTARY, rank 351-401
2021-09-08 11:30:48 INFO Collected 50 ID in genre DOCUMENTARY, rank 401-451
2021-09-08 11:30:51 INFO Collected 50 ID in genre DOCUMENTARY, rank 451-501
2021-09-08 11:30:53 INFO Collected 50 ID in genre DOCUMENTARY, rank 501-551
2021-09-08 11:30:55 INFO Collected 50 ID in genre DOCUMENTARY, rank 551-601
2021-09-08 11:30:58 INFO Collected 50 ID in genre DOCUMENTARY, rank 601-651
2021-09-08 11:31:00 INFO Collected 50 ID in genre DOCUMENTARY, rank 651-701
2021-09-08 11:31:02 INFO Collected 50 ID in genre DOCUMENTARY, rank 701-751
2021-09-08 11:31:05 INFO Collected 50 ID in genre DOCUMENTARY, rank 751-801
2021-09-08 11:31:08 INFO Collected 50 ID in genre DOCUMENTARY, rank 801-851
2021-09-08 11:31:10 INFO Collected 50 ID in genre DOCUMENTARY, rank 851-901
2021-09-08 11:31:12 INFO Collected 50 ID in genre DOCUMENTARY, rank 901-951
2021-09-08 11:31:15 INFO Collected 50 ID in genre DOCUMENTARY, rank 951-1001
2021-09-08 11:31:16 INFO Collected 1000 ID in DOCUMENTARY genre
2021-09-08 11:31:21 INFO Collected 50 ID in genre ACTION, rank 1-51
2021-09-08 11:31:23 INFO Collected 50 ID in genre ACTION, rank 51-101
2021-09-08 11:31:25 INFO Collected 50 ID in genre ACTION, rank 101-151
2021-09-08 11:31:26 INFO Collected 50 ID in genre ACTION, rank 151-201
2021-09-08 11:31:28 INFO Collected 50 ID in genre ACTION, rank 201-251
2021-09-08 11:31:30 INFO Collected 50 ID in genre ACTION, rank 251-301
2021-09-08 11:31:32 INFO Collected 50 ID in genre ACTION, rank 301-351
2021-09-08 11:31:33 INFO Collected 50 ID in genre ACTION, rank 351-401
2021-09-08 11:31:35 INFO Collected 50 ID in genre ACTION, rank 401-451
2021-09-08 11:31:37 INFO Collected 50 ID in genre ACTION, rank 451-501
2021-09-08 11:31:39 INFO Collected 50 ID in genre ACTION, rank 501-551
2021-09-08 11:31:41 INFO Collected 50 ID in genre ACTION, rank 551-601
2021-09-08 11:31:44 INFO Collected 50 ID in genre ACTION, rank 601-651
2021-09-08 11:31:46 INFO Collected 50 ID in genre ACTION, rank 651-701
2021-09-08 11:31:47 INFO Collected 50 ID in genre ACTION, rank 701-751
2021-09-08 11:31:49 INFO Collected 50 ID in genre ACTION, rank 751-801
2021-09-08 11:31:51 INFO Collected 50 ID in genre ACTION, rank 801-851
2021-09-08 11:31:53 INFO Collected 50 ID in genre ACTION, rank 851-901
2021-09-08 11:31:55 INFO Collected 50 ID in genre ACTION, rank 901-951
2021-09-08 11:31:57 INFO Collected 50 ID in genre ACTION, rank 951-1001
2021-09-08 11:31:58 INFO Collected 1000 ID in ACTION genre
2021-09-08 11:32:01 INFO Collected 50 ID in genre ADVENTURE, rank 1-51
2021-09-08 11:32:03 INFO Collected 50 ID in genre ADVENTURE, rank 51-101
2021-09-08 11:32:05 INFO Collected 50 ID in genre ADVENTURE, rank 101-151
2021-09-08 11:32:06 INFO Collected 50 ID in genre ADVENTURE, rank 151-201
2021-09-08 11:32:08 INFO Collected 50 ID in genre ADVENTURE, rank 201-251
2021-09-08 11:32:10 INFO Collected 50 ID in genre ADVENTURE, rank 251-301
2021-09-08 11:32:12 INFO Collected 50 ID in genre ADVENTURE, rank 301-351
2021-09-08 11:32:13 INFO Collected 50 ID in genre ADVENTURE, rank 351-401
2021-09-08 11:32:15 INFO Collected 50 ID in genre ADVENTURE, rank 401-451
2021-09-08 11:32:17 INFO Collected 50 ID in genre ADVENTURE, rank 451-501
2021-09-08 11:32:19 INFO Collected 50 ID in genre ADVENTURE, rank 501-551
2021-09-08 11:32:20 INFO Collected 50 ID in genre ADVENTURE, rank 551-601
2021-09-08 11:32:22 INFO Collected 50 ID in genre ADVENTURE, rank 601-651
2021-09-08 11:32:24 INFO Collected 50 ID in genre ADVENTURE, rank 651-701
2021-09-08 11:32:26 INFO Collected 50 ID in genre ADVENTURE, rank 701-751
2021-09-08 11:32:27 INFO Collected 50 ID in genre ADVENTURE, rank 751-801
2021-09-08 11:32:29 INFO Collected 50 ID in genre ADVENTURE, rank 801-851
2021-09-08 11:32:31 INFO Collected 50 ID in genre ADVENTURE, rank 851-901
2021-09-08 11:32:33 INFO Collected 50 ID in genre ADVENTURE, rank 901-951
2021-09-08 11:32:35 INFO Collected 50 ID in genre ADVENTURE, rank 951-1001
2021-09-08 11:32:36 INFO Collected 1000 ID in ADVENTURE genre
2021-09-08 11:32:41 INFO Collected 50 ID in genre ANIMATION, rank 1-51
2021-09-08 11:32:43 INFO Collected 50 ID in genre ANIMATION, rank 51-101
2021-09-08 11:32:44 INFO Collected 50 ID in genre ANIMATION, rank 101-151
2021-09-08 11:32:46 INFO Collected 50 ID in genre ANIMATION, rank 151-201
2021-09-08 11:32:48 INFO Collected 50 ID in genre ANIMATION, rank 201-251
2021-09-08 11:32:50 INFO Collected 50 ID in genre ANIMATION, rank 251-301
2021-09-08 11:32:51 INFO Collected 50 ID in genre ANIMATION, rank 301-351
2021-09-08 11:32:53 INFO Collected 50 ID in genre ANIMATION, rank 351-401
2021-09-08 11:32:55 INFO Collected 50 ID in genre ANIMATION, rank 401-451
